TIme,Satellite_num,State
376,31,outdoor
377,29,outdoor
378,31,outdoor
379,30,outdoor
380,30,outdoor
381,32,outdoor
382,31,outdoor
383,30,outdoor
384,31,outdoor
385,30,outdoor
386,32,outdoor
387,30,outdoor
388,29,outdoor
389,31,outdoor
390,32,outdoor
391,31,outdoor
392,31,outdoor
393,28,outdoor
394,30,outdoor
395,32,outdoor
396,31,outdoor
397,32,outdoor
398,30,outdoor
399,31,outdoor
400,31,outdoor
401,30,outdoor
402,32,outdoor
403,30,outdoor
404,31,outdoor
405,31,outdoor
406,30,outdoor
407,30,outdoor
408,30,outdoor
409,31,outdoor
410,31,outdoor
411,32,outdoor
412,31,outdoor
413,32,outdoor
414,30,outdoor
415,30,outdoor
416,29,outdoor
417,30,outdoor
418,32,outdoor
419,32,outdoor
420,31,outdoor
421,32,outdoor
422,32,outdoor
423,32,outdoor
424,31,outdoor
425,30,outdoor
426,29,outdoor
427,32,outdoor
428,31,outdoor
429,29,outdoor
430,29,outdoor
431,30,outdoor
432,27,outdoor
433,26,outdoor
434,28,outdoor
435,26,outdoor
436,26,outdoor
437,29,outdoor
438,28,outdoor
439,25,outdoor
440,27,outdoor
441,25,outdoor
442,28,outdoor
443,25,outdoor
444,23,outdoor
445,24,outdoor
446,26,outdoor
447,25,outdoor
448,25,outdoor
449,23,outdoor
450,26,outdoor
451,24,outdoor
452,23,outdoor
453,26,outdoor
454,25,outdoor
455,28,outdoor
456,27,outdoor
457,27,outdoor
458,29,outdoor
459,26,outdoor
460,26,outdoor
461,27,outdoor
462,28,outdoor
463,27,outdoor
464,26,outdoor
465,27,outdoor
466,29,outdoor
467,28,outdoor
468,28,outdoor
469,26,outdoor
470,28,outdoor
471,26,outdoor
472,29,outdoor
473,27,outdoor
474,27,outdoor
475,28,outdoor
476,27,outdoor
477,28,outdoor
478,26,outdoor
479,29,outdoor
480,26,outdoor
481,26,outdoor
482,28,outdoor
483,27,outdoor
484,27,outdoor
485,27,outdoor
486,27,outdoor
487,27,outdoor
488,27,outdoor
489,29,outdoor
490,27,outdoor
491,29,outdoor
492,26,outdoor
493,26,outdoor
494,24,outdoor
495,23,outdoor
496,27,outdoor
497,26,outdoor
498,26,outdoor
499,28,outdoor
500,26,outdoor
501,25,outdoor
502,27,outdoor
503,24,indoor
504,23,indoor
505,22,indoor
506,23,indoor
507,21,indoor
508,20,indoor
509,17,indoor
510,15,indoor
511,16,indoor
512,11,indoor
513,12,indoor
514,12,indoor
515,8,indoor
516,8,indoor
517,9,indoor
518,7,indoor
519,3,indoor
520,5,indoor
521,3,indoor
522,3,indoor
523,3,indoor
524,3,indoor
525,3,indoor
526,2,indoor
527,2,indoor
528,2,indoor
529,1,indoor
530,0,indoor
531,0,indoor
532,0,indoor
533,0,indoor
534,0,indoor
535,0,indoor
536,0,indoor
537,0,indoor
538,0,indoor
539,0,indoor
540,0,indoor
541,0,indoor
542,0,indoor
543,0,indoor
544,0,indoor
545,0,indoor
546,0,indoor
547,0,indoor
548,0,indoor
549,0,indoor
550,0,indoor
551,0,indoor
552,0,indoor
553,0,indoor
554,0,indoor
555,0,indoor
556,0,indoor
557,0,indoor
558,0,indoor
559,0,indoor
560,0,indoor
561,0,indoor
562,0,indoor
563,0,indoor
564,0,indoor
565,0,indoor
566,0,indoor
567,0,indoor
568,0,indoor
569,0,indoor
570,0,indoor
571,0,indoor
572,0,indoor
573,0,indoor
574,0,indoor
575,0,indoor
576,0,indoor
577,0,indoor
578,0,indoor
579,0,indoor
580,0,indoor
581,0,indoor
582,0,indoor
583,0,indoor
584,0,indoor
585,0,indoor
586,0,indoor
587,0,indoor
588,0,indoor
589,0,indoor
590,0,indoor
591,0,indoor
592,0,indoor
593,0,indoor
594,0,indoor
595,0,indoor
596,0,indoor
597,0,indoor
598,0,indoor
599,0,indoor
600,0,indoor
601,0,indoor
602,0,indoor
603,0,indoor
604,0,indoor
605,0,indoor
606,0,indoor
607,0,indoor
608,0,indoor
609,0,indoor
610,0,indoor
611,0,indoor
612,0,indoor
613,0,indoor
614,0,indoor
615,0,indoor
616,0,indoor
617,0,indoor
618,0,indoor
619,0,indoor
620,0,indoor
621,0,indoor
622,0,indoor
623,0,indoor
624,0,indoor
625,0,indoor
626,0,indoor
627,0,indoor
628,0,indoor
629,0,indoor
630,0,indoor
631,0,indoor
632,0,indoor
633,0,indoor
634,0,indoor
635,0,indoor
636,0,indoor
637,0,indoor
638,0,indoor
639,0,indoor
640,0,indoor
641,0,indoor
642,0,indoor
643,0,indoor
644,0,indoor
645,0,indoor
646,0,indoor
647,0,indoor
648,0,indoor
649,0,indoor
650,0,indoor
651,0,indoor
652,0,indoor
653,0,indoor
654,0,indoor
655,0,indoor
656,0,indoor
657,0,indoor
658,0,indoor
659,0,indoor
660,0,indoor
661,0,indoor
662,0,indoor
663,0,indoor
664,0,indoor
665,0,indoor
666,0,indoor
667,0,indoor
668,0,indoor
669,0,indoor
670,0,indoor
671,0,indoor
672,0,indoor
673,0,indoor
674,0,indoor
675,0,indoor
676,0,indoor
677,0,indoor
678,0,indoor
679,0,indoor
680,0,indoor
681,0,indoor
682,0,indoor
683,0,indoor
684,0,indoor
685,0,indoor
686,0,indoor
687,0,indoor
688,0,indoor
689,0,indoor
690,0,indoor
691,0,indoor
